ano,instituicao,titulo,autor,link
2020,Universidade Federal do Pampa,Desertos Noticiosos Na Região Sul Do Brasil,"FURLANETTO, A.; NOLIBOS BACCIN, A.",https://periodicos.unipampa.edu.br/index.php/SIEPE/article/view/107425
2020,Universidade de São Paulo,Diversidade Nas Pautas Jornalísticas:O Caso Das Periferias Paulistanas,"NONATO, Cláudia",http://www.revistas.usp.br/extraprensa/article/view/153455/162162
2020,Pontifícia Universidade Católica de São Paulo,Fake news colocam a vida em risco: a polêmica da campanha de vacinação contra a febre amarela no Brasil,"TEIXEIRA, Adriana; DA COSTA, Rogério",https://www.arca.fiocruz.br/bitstream/icict/40875/2/8.pdf
2020,Universidade Federal da Bahia,Jornalismo midiatizado: um estudo quantitativo de sites noticiosos do interior da Bahia,"GUERRA, João",http://sbpjor.org.br/congresso/index.php/sbpjor/sbpjor2020/paper/viewFile/2853/1275
2020,Universidade de São Paulo; ESPM,"Journalism shrinks, power expands: The second death of public opinion","GANDOUR, Ricardo",https://books.google.com.br/books?hl=pt-BR&lr=&id=OwULEAAAQBAJ&oi=fnd&pg=PT5&ots=PpdyF3kCcy&sig=_EU9jXcyX8evRgmrLoaFUPMmZKw&redir_esc=y#v=onepage&q&f=false
2020,Universidade Federal de Mato Grosso,Mapeamentos Iniciais Do Jornalismo Digital Independente Em Mato Grosso: Uma Análise De Autodescrições De Sites,"COELHO, Tamires Ferreira; DE SOUZA, Vinícius Guedes Pereira; AMORIM, Thays Luz; PEREIRA, Letícia Souza",https://www.revistas.usp.br/alterjor/article/view/170074/162131
2020,Universidade do Estado de Minas Gerais,Media in capital territorialization1,"BARROS, Janaina Visibeli",https://www.revistas.usp.br/matrizes/article/view/163315/167659
2020,Universidade Federal do Rio Grande do Sul,O Jornalismo ambiental: três perspectivas em cinco décadas de especialização no Brasil megadiverso,"BELMONTE, Roberto Villar ",https://www.lume.ufrgs.br/handle/10183/214035
2020,Universidade Federal de Santa Catarina,O mundo do trabalho de jornalistas no Brasil: uma agenda de pesquisa,"MICKA, Jacques; KIKUTIB, Andressa ",https://www.revistas.usp.br/plural/article/view/179830/167185
2020,Universidade de Santa Cruz do Sul,O papel das rádios comunitárias gaúchas na pandemia do novo coronavírus: sintomas do adoecimento da fala popular,"OLIVEIRA, Vanessa Costa de; SCHUSTER, Patrícia Regina",https://periodicos.ufop.br:8082/pp/index.php/radiofonias/article/view/4461/3516
2020,Universidade Federal do Sul e Sudeste do Pará,Os desafios da produção jornalística laboratorial em um deserto de notícias,"JAVORSKI, Elaine; BARGAS, Janine; BARROSO, Lívia",http://www.intercom.org.br/sis/eventos/2020/resumos/R15-2665-1.pdf
2020,Universidade Federal do Rio Grande do Sul; Universidade Federal de Santa Maria ,Porto Alegre e a mudança climática: abordagens do jornalismo local na construção da resiliência,"FANTE, Eliege Maria; DE MORAES, Cláudia Herte; LENGERT, Mathias",https://revistachasqui.org/index.php/chasqui/article/view/4295/3308
2020,Universidade Federal do Rio Grande do Sul ,Potencialidades e carências no jornalismo local sobre meio ambiente,"STEIGLEDER, Débora Gallas  ",https://jornalismoemeioambiente.com/tag/jornalismo-local/
2020,Universidade Estadual do Maranhão ,Povos indígenas – a realidade que não chega nos jornais,"GUAJAJARA, Sônia",http://cclf.org.br/wp-content/uploads/2020/09/2020-Vozes-Silenciadas_-a-cobertura-do-vazamento-de-petr%C3%B3leo-na-costa-brasileira-vers%C3%A3o-compacta-1.pdf
2020,Universidade Federal de Mato Grosso,Rádio Expandido em Mato Grosso: formatação e condições de trabalho na produção local,"CHAGAS, Nayara Silva; CHAGAS, Luãn José Vaz",http://www.intercom.org.br/sis/eventos/2020/resumos/R15-1426-1.pdf
2020,Universidade Federal de Goiás,"Radiojornalismo local: a construção do estado da arte como ponto de partida na elaboração de uma proposta de pesquisa1","LIMA, Hélder Samuel dos Santos; DEL BIANCO, Nelia Rodrigues ",http://www.intercom.org.br/sis/eventos/2020/resumos/R15-0282-1.pdf
2020,Universidade Federal de Santa Catarina ,Sentidos de cidadania e direitos humanos na práxis de repórteres,"MONTIPÓ, Criselli Maria",https://repositorio.ufsc.br/bitstream/handle/123456789/216255/PJOR0153-T.pdf?sequence=1&isAllowed=y
2020,Universidade Estadual Paulista “Júlio de Mesquita Filho”,Ser Jornalista no século XXI: transformações e desafios contínuos da profissão,"SIMON, Luciana Galhardo Batista",https://repositorio.unesp.br/handle/11449/192678
2020,Canterbury Christ Church University; Newcastle University,The Routledge Companion to Local Media and Journalism,"GULYAS, Agnes; BAINES, David",https://books.google.com.br/books?hl=pt-BR&lr=&id=3AXeDwAAQBAJ&oi=fnd&pg=PT59&dq=%22atlas+da+not%C3%ADcia%22&ots=wz8wmRRK9D&sig=iMqNSpTyxu2uRQBWElEOyxXSNSM#v=onepage&q=%22atlas%20da%20not%C3%ADcia%22&f=false
2020,Universidade Federal do Piauí ,Trabalho jornalístico em um quase-deserto de notícias: estudo de caso da cidade de Uruçuí-PI,"BARBOSA, Nícolas Nunes, DOURADO, Jacqueline Lima, COSME, Marta Thaís Alencar",http://sbpjor.org.br/congresso/index.php/sbpjor/sbpjor2020/paper/viewFile/2862/1322
2020,Universidade Estadual de Ponta Grossa,Vulneráveis: Enfoques Narrativos Sobre A Covid-19 Na Revista Radis,"BORCEZI, Daniela",https://testes.periodicos.uerr.edu.br/index.php/ambiente/article/view/827/
2019,Universidade Federal de Santa Catarina,A COBERTURA DAS PARALIMPÍADAS RIO-2016 NA IMPRENSA BRASILEIRA,"LONGO, Guilherme Gonçales",https://repositorio.ufsc.br/bitstream/handle/123456789/215300/PJOR0135-D.pdf?sequence=-1&isAllowed=y
2019,Universidade Federal de Santa Catarina,A crise do jornalismo tem solução?,"CHRISTOFOLETTI, Rogério ",https://books.google.com.br/books?id=CB-WDwAAQBAJ&printsec=frontcover&hl=pt-BR&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
2019,Universidade Federal do Espírito Santo,A rádio estatal em relação ao conceito da comunicação pública,"DE MINGO, Ivana Sonegheti ",https://portalintercom.org.br/anais/sudeste2019/resumos/R68-0201-1.pdf
