Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
313790,3137908,LAMIM,n/d,MG,Sudeste,1,29.0,Brasil,3450,0.655,0.325,0.546,0.828,0.623,386.1
313800,3138005,LARANJAL,n/d,MG,Sudeste,1,15.5,Brasil,6462,0.714,0.456,0.613,0.857,0.694,601.49
420950,4209508,LAURENTINO,n/d,SC,Sul,1,16.8,Brasil,5953,0.749,0.504,0.662,0.855,0.742,810.58
291920,2919207,LAURO DE FREITAS,RM Salvador,BA,Nordeste,1,0.6,Brasil,161401,0.754,0.667,0.663,0.827,0.781,1031.78
431150,4311502,LAVRAS DO SUL,n/d,RS,Sul,1,13.1,Brasil,7644,0.699,0.474,0.577,0.868,0.683,559.67
352660,3526605,LAVRINHAS,n/d,SP,Sudeste,1,15.4,Brasil,6511,0.729,0.549,0.707,0.823,0.665,500.59
420970,4209706,LEBON RÉGIS,n/d,SC,Sul,1,8.5,Brasil,11825,0.649,0.365,0.537,0.806,0.632,409.05
352670,3526704,LEME,n/d,SP,Sudeste,1,1.1,Brasil,91255,0.744,0.511,0.665,0.851,0.729,746.15
291930,2919306,LENÇÓIS,n/d,BA,Nordeste,1,9.8,Brasil,10186,0.623,0.424,0.51,0.775,0.613,362.74
352680,3526803,LENÇÓIS PAULISTA,n/d,SP,Sudeste,1,1.6,Brasil,61212,0.764,0.577,0.717,0.837,0.743,816.48
420980,4209805,LEOBERTO LEAL,n/d,SC,Sul,1,30.0,Brasil,3328,0.686,0.282,0.533,0.818,0.74,800.32
313840,3138401,LEOPOLDINA,n/d,MG,Sudeste,1,2.0,Brasil,50929,0.726,0.506,0.635,0.867,0.696,609.5
431160,4311601,LIBERATO SALZANO,n/d,RS,Sul,1,17.3,Brasil,5767,0.685,0.349,0.583,0.81,0.68,551.91
291940,2919405,LICÍNIO DE ALMEIDA,n/d,BA,Nordeste,1,8.1,Brasil,12305,0.621,0.331,0.531,0.775,0.582,299.47
210600,2106003,LIMA CAMPOS,n/d,MA,Nordeste,1,8.8,Brasil,11375,0.581,0.308,0.481,0.705,0.578,292.37
352700,3527009,LINDÓIA,n/d,SP,Sudeste,1,14.9,Brasil,6696,0.742,0.503,0.654,0.864,0.722,714.18
250850,2508505,LIVRAMENTO,n/d,PB,Nordeste,1,14.0,Brasil,7152,0.566,0.285,0.473,0.732,0.523,207.73
291950,2919504,LIVRAMENTO DE NOSSA SENHORA,n/d,BA,Nordeste,1,2.3,Brasil,42581,0.611,0.302,0.491,0.793,0.587,309.16
420990,4209904,LONTRAS,n/d,SC,Sul,1,9.8,Brasil,10244,0.704,0.413,0.579,0.82,0.735,773.05
352750,3527504,LUCIANÓPOLIS,n/d,SP,Sudeste,1,44.5,Brasil,2247,0.733,0.463,0.662,0.809,0.736,779.84
313880,3138807,LUZ,n/d,MG,Sudeste,1,5.8,Brasil,17356,0.724,0.461,0.63,0.833,0.723,720.88
220580,2205805,LUZILÂNDIA,n/d,PI,Nordeste,1,4.1,Brasil,24636,0.545,0.271,0.42,0.7,0.55,245.02
521250,5212501,LUZIÂNIA,RIDE DF,GO,Centro-Oeste,1,0.6,Brasil,173474,0.701,0.51,0.602,0.831,0.689,580.88
220570,2205706,LUÍS CORREIA,n/d,PI,Nordeste,1,3.5,Brasil,28214,0.541,0.254,0.398,0.73,0.544,236.9
291960,2919603,MACAJUBA,n/d,BA,Nordeste,1,8.9,Brasil,11204,0.524,0.202,0.358,0.78,0.515,197.25
260900,2609006,MACAPARANA,n/d,PE,Nordeste,1,4.2,Brasil,23881,0.609,0.318,0.508,0.778,0.571,278.93
352800,3528007,MACATUBA,n/d,SP,Sudeste,1,6.2,Brasil,16217,0.77,0.513,0.697,0.859,0.763,920.95
240710,2407104,MACAÍBA,n/d,RN,Nordeste,1,1.4,Brasil,69214,0.64,0.427,0.545,0.784,0.613,363.97
291980,2919801,MACAÚBAS,n/d,BA,Nordeste,1,2.1,Brasil,46976,0.609,0.311,0.513,0.791,0.557,255.36
313900,3139003,MACHADO,n/d,MG,Sudeste,1,2.6,Brasil,38494,0.715,0.449,0.6,0.848,0.719,701.58
313910,3139102,MADRE DE DEUS DE MINAS,n/d,MG,Sudeste,1,20.6,Brasil,4862,0.699,0.458,0.598,0.856,0.667,508.21
210630,2106300,MAGALHÃES DE ALMEIDA,n/d,MA,Nordeste,1,5.7,Brasil,17462,0.567,0.338,0.499,0.729,0.502,181.73
352850,3528502,MAIRIPORÃ,RM São Paulo,SP,Sudeste,1,1.2,Brasil,80353,0.788,0.625,0.723,0.881,0.767,944.03
421020,4210209,MAJOR GERCINO,n/d,SC,Sul,1,30.5,Brasil,3276,0.698,0.338,0.563,0.818,0.738,789.61
421030,4210308,MAJOR VIEIRA,n/d,SC,Sul,1,13.5,Brasil,7432,0.69,0.376,0.617,0.817,0.653,465.76
313920,3139201,MALACACHETA,n/d,MG,Sudeste,1,5.4,Brasil,18620,0.618,0.331,0.505,0.768,0.609,353.28
411390,4113908,MALLET,n/d,PR,Sul,1,7.7,Brasil,12907,0.708,0.433,0.645,0.809,0.681,552.86
250880,2508802,MALTA,n/d,PB,Nordeste,1,17.9,Brasil,5591,0.642,0.328,0.533,0.8,0.62,378.53
411400,4114005,MAMBORÊ,n/d,PR,Sul,1,7.2,Brasil,13859,0.719,0.463,0.649,0.821,0.698,616.46
352860,3528601,MANDURI,n/d,SP,Sudeste,1,11.2,Brasil,8957,0.739,0.503,0.675,0.818,0.73,750.34
313930,3139300,MANGA,n/d,MG,Sudeste,1,5.1,Brasil,19734,0.642,0.362,0.53,0.799,0.624,387.71
330260,3302601,MANGARATIBA,n/d,RJ,Sudeste,1,2.8,Brasil,36300,0.753,0.63,0.676,0.845,0.746,832.15
313950,3139508,MANHUMIRIM,n/d,MG,Sudeste,1,4.7,Brasil,21211,0.697,0.414,0.589,0.846,0.679,547.24
292040,2920403,MANOEL VITORINO,n/d,BA,Nordeste,1,7.0,Brasil,14387,0.566,0.255,0.456,0.741,0.538,226.95
313960,3139607,MANTENA,n/d,MG,Sudeste,1,3.7,Brasil,26872,0.675,0.397,0.575,0.803,0.666,505.08
