Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
353800.0,3538006.0,PINDAMONHANGABA,n/d,SP,Sudeste,2,1.36619487403683,Brasil,146392.0,0.773,0.663,0.736,0.843,0.745,826.02
353880.0,3538808.0,PIRAJU,n/d,SP,Sudeste,2,7.05318098462407,Brasil,28356.0,0.758,0.558,0.699,0.843,0.74,801.23
315120.0,3151206.0,PIRAPORA,n/d,MG,Sudeste,2,3.78730495379488,Brasil,52808.0,0.731,0.591,0.68,0.828,0.693,596.44
411940.0,4119400.0,PIRAÍ DO SUL,n/d,PR,Sul,2,8.58369098712446,Brasil,23300.0,0.708,0.461,0.619,0.816,0.702,631.84
521740.0,5217401.0,PIRES DO RIO,n/d,GO,Centro-Oeste,2,6.98616738857063,Brasil,28628.0,0.744,0.515,0.65,0.88,0.719,702.46
220840.0,2208403.0,PIRIPIRI,n/d,PI,Nordeste,2,3.24033569877839,Brasil,61722.0,0.635,0.361,0.533,0.775,0.621,380.67
411960.0,4119608.0,PITANGA,n/d,PR,Sul,2,6.14514840533399,Brasil,32546.0,0.702,0.444,0.621,0.802,0.696,609.77
315140.0,3151404.0,PITANGUI,n/d,MG,Sudeste,2,7.95291872117067,Brasil,25148.0,0.725,0.498,0.617,0.87,0.711,669.0
431470.0,4314704.0,PLANALTO,n/d,RS,Sul,2,19.133263178035,Brasil,10453.0,0.687,0.403,0.597,0.807,0.674,531.04
421320.0,4213203.0,POMERODE,n/d,SC,Sul,2,7.26005517641934,Brasil,27548.0,0.78,0.558,0.687,0.886,0.78,1022.91
315200.0,3152006.0,POMPÉU,n/d,MG,Sudeste,2,6.93072737983851,Brasil,28857.0,0.689,0.44,0.564,0.834,0.694,598.83
521800.0,5218003.0,PORANGATU,n/d,GO,Centro-Oeste,2,4.74012276917972,Brasil,42193.0,0.727,0.507,0.642,0.845,0.709,658.39
315220.0,3152204.0,PORTEIRINHA,n/d,MG,Sudeste,2,5.34902380315592,Brasil,37390.0,0.651,0.365,0.585,0.796,0.593,320.48
421350.0,4213500.0,PORTO BELO,n/d,SC,Sul,2,12.4672734073058,Brasil,16042.0,0.76,0.545,0.66,0.886,0.75,850.99
292530.0,2925303.0,PORTO SEGURO,n/d,BA,Nordeste,2,1.58838572358912,Brasil,125914.0,0.676,0.499,0.572,0.801,0.673,527.04
421360.0,4213609.0,PORTO UNIÃO,n/d,SC,Sul,2,5.99844040549457,Brasil,33342.0,0.786,0.593,0.724,0.891,0.752,864.41
210910.0,2109106.0,PRESIDENTE DUTRA,n/d,MA,Nordeste,2,4.48671931083991,Brasil,44576.0,0.653,0.418,0.563,0.788,0.628,398.15
354130.0,3541307.0,PRESIDENTE EPITÁCIO,n/d,SP,Sudeste,2,4.89416370977609,Brasil,40865.0,0.75,0.57,0.7,0.845,0.714,680.56
354150.0,3541505.0,PRESIDENTE VENCESLAU,n/d,SP,Sudeste,2,5.49646851897656,Brasil,36387.0,0.763,0.565,0.708,0.837,0.749,846.18
510704.0,5107040.0,PRIMAVERA DO LESTE,n/d,MT,Centro-Oeste,2,3.87529306903835,Brasil,51609.0,0.752,0.577,0.653,0.843,0.774,990.05
354160.0,3541604.0,PROMISSÃO,n/d,SP,Sudeste,2,5.66075118168181,Brasil,35331.0,0.743,0.527,0.666,0.85,0.724,726.0
412060.0,4120606.0,PRUDENTÓPOLIS,n/d,PR,Sul,2,4.15878230854006,Brasil,48091.0,0.676,0.369,0.577,0.807,0.664,497.84
431530.0,4315305.0,QUARAÍ,n/d,RS,Sul,2,8.72371979412021,Brasil,22926.0,0.704,0.505,0.609,0.852,0.673,528.64
412090.0,4120903.0,QUEDAS DO IGUAÇU,n/d,PR,Sul,2,6.60131366141862,Brasil,30297.0,0.681,0.419,0.576,0.794,0.69,586.88
421420.0,4214201.0,QUILOMBO,n/d,SC,Sul,2,19.6347928529354,Brasil,10186.0,0.73,0.461,0.656,0.832,0.712,672.58
