cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
BRASÍLIA,530010,197,7.7,RIDE DF,DF,Distrito Federal,CO,Brasil,2543802,1715.11,0.723,0.824,0.742,0.873,0.863
CUIABÁ,510340,42,7.7,n/d,MT,Mato Grosso,CO,Brasil,547297,1161.49,0.702,0.785,0.726,0.834,0.8
ARAGUARI,310350,8,7.3,n/d,MG,Minas Gerais,SE,Brasil,109297,798.63,0.585,0.773,0.716,0.871,0.74
SANTOS,354850,30,7.2,n/d,SP,São Paulo,SE,Brasil,416553,1693.65,0.758,0.84,0.807,0.852,0.861
VITÓRIA,320530,23,7.1,n/d,ES,Espírito Santo,SE,Brasil,325399,1866.58,0.789,0.845,0.805,0.855,0.876
CORUMBÁ,500320,7,6.8,n/d,MS,Mato Grosso do Sul,CO,Brasil,102596,627.1,0.546,0.7,0.586,0.834,0.701
BRUSQUE,420290,7,6.7,n/d,SC,Santa Catarina,S,Brasil,104887,1116.93,0.591,0.795,0.707,0.894,0.794
BARUERI,350570,16,6.7,RM São Paulo,SP,São Paulo,SE,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
POÁ,353980,7,6.6,RM São Paulo,SP,São Paulo,SE,Brasil,105717,664.31,0.677,0.771,0.754,0.856,0.71
PALHOÇA,421190,9,6.6,n/d,SC,Santa Catarina,S,Brasil,136699,862.74,0.609,0.757,0.672,0.859,0.752
BENTO GONÇALVES,430210,7,6.6,n/d,RS,Rio Grande do Sul,S,Brasil,106666,1196.56,0.614,0.778,0.695,0.842,0.805
RIO CLARO,354390,12,6.5,n/d,SP,São Paulo,SE,Brasil,185172,1049.16,0.671,0.803,0.766,0.862,0.784
GUARATINGUETÁ,351840,7,6.3,n/d,SP,São Paulo,SE,Brasil,111540,926.78,0.673,0.798,0.751,0.886,0.764
CAMPO LARGO,410420,7,6.3,RM Curitiba,PR,Paraná,S,Brasil,111827,749.21,0.528,0.745,0.664,0.854,0.73
SÃO PAULO,355030,698,6.2,RM São Paulo,SP,São Paulo,SE,Brasil,11172609,1516.21,0.677,0.805,0.725,0.855,0.843
DOURADOS,500370,12,6.2,n/d,MS,Mato Grosso do Sul,CO,Brasil,194084,866.4,0.587,0.747,0.657,0.843,0.753
TRÊS LAGOAS,500830,6,5.9,n/d,MS,Mato Grosso do Sul,CO,Brasil,101171,863.66,0.579,0.744,0.645,0.849,0.752
TEIXEIRA DE FREITAS,293135,8,5.9,n/d,BA,Bahia,NE,Brasil,136656,560.73,0.503,0.685,0.588,0.8,0.683
APUCARANA,410140,7,5.8,n/d,PR,Paraná,S,Brasil,120486,804.81,0.548,0.748,0.668,0.845,0.741
LAGES,420930,9,5.8,n/d,SC,Santa Catarina,S,Brasil,156106,878.34,0.608,0.77,0.697,0.867,0.755
SANTANA DE PARNAÍBA,354730,6,5.5,RM São Paulo,SP,São Paulo,SE,Brasil,108248,1858.69,0.657,0.814,0.725,0.849,0.876
INDAIATUBA,352050,11,5.5,n/d,SP,São Paulo,SE,Brasil,201009,1098.31,0.657,0.788,0.738,0.837,0.791
MOGI DAS CRUZES,353060,21,5.4,RM São Paulo,SP,São Paulo,SE,Brasil,386276,916.81,0.662,0.783,0.74,0.851,0.762
ARARAQUARA,350320,11,5.3,n/d,SP,São Paulo,SE,Brasil,206646,1080.66,0.687,0.815,0.782,0.877,0.788
ITU,352390,8,5.2,n/d,SP,São Paulo,SE,Brasil,153310,1038.14,0.621,0.773,0.692,0.854,0.782
CONSELHEIRO LAFAIETE,311830,6,5.2,n/d,MG,Minas Gerais,SE,Brasil,116043,781.59,0.603,0.761,0.697,0.86,0.736
BAGÉ,430160,6,5.2,n/d,RS,Rio Grande do Sul,S,Brasil,116108,795.56,0.585,0.74,0.647,0.848,0.739
SANTA CRUZ DO SUL,431680,6,5.1,n/d,RS,Rio Grande do Sul,S,Brasil,117169,1036.87,0.619,0.773,0.693,0.852,0.782
MOGI GUAÇU,353070,7,5.1,n/d,SP,São Paulo,SE,Brasil,136821,802.19,0.598,0.774,0.736,0.852,0.74
CUBATÃO,351350,6,5.1,n/d,SP,São Paulo,SE,Brasil,118004,689.21,0.593,0.737,0.681,0.821,0.716
IPATINGA,313130,12,5.0,n/d,MG,Minas Gerais,SE,Brasil,238052,862.91,0.625,0.771,0.705,0.864,0.752
GOIÂNIA,520870,65,5.0,n/d,GO,Goiás,CO,Brasil,1297161,1348.55,0.714,0.799,0.739,0.838,0.824
CABO FRIO,330070,9,4.9,n/d,RJ,Rio de Janeiro,SE,Brasil,185301,815.75,0.606,0.735,0.64,0.836,0.743
GUARAPUAVA,410940,8,4.8,n/d,PR,Paraná,S,Brasil,165849,750.09,0.519,0.731,0.628,0.853,0.73
RIO BRANCO,120040,16,4.8,n/d,AC,Acre,N,Brasil,333052,744.67,0.607,0.727,0.661,0.798,0.729
GUARAPARI,320240,5,4.8,n/d,ES,Espírito Santo,SE,Brasil,104656,830.51,0.564,0.731,0.626,0.837,0.746
BOTUCATU,350750,6,4.7,n/d,SP,São Paulo,SE,Brasil,126813,1089.1,0.653,0.8,0.746,0.869,0.79
MARICÁ,330270,6,4.7,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,127228,910.41,0.655,0.765,0.692,0.85,0.761
