cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
FERRAZ DE VASCONCELOS,351570,2,1.2,RM São Paulo,SP,São Paulo,SE,Brasil,168022,587.83,0.585,0.738,0.703,0.828,0.691
CASTANHAL,150240,2,1.2,RM Belém,PA,Pará,N,Brasil,172265,467.32,0.536,0.673,0.582,0.8,0.654
PRAIA GRANDE,354100,3,1.1,n/d,SP,São Paulo,SE,Brasil,261424,820.97,0.633,0.754,0.692,0.834,0.744
SALVADOR,292740,29,1.1,RM Salvador,BA,Bahia,NE,Brasil,2650633,973,0.697,0.759,0.679,0.835,0.772
ILHÉUS,291360,2,1.1,n/d,BA,Bahia,NE,Brasil,183184,579.46,0.528,0.69,0.59,0.808,0.688
CAMPOS DOS GOYTACAZES,330100,5,1.1,n/d,RJ,Rio de Janeiro,SE,Brasil,460592,682.59,0.555,0.716,0.619,0.83,0.715
DIADEMA,351380,4,1.0,RM São Paulo,SP,São Paulo,SE,Brasil,385473,694.55,0.627,0.757,0.716,0.844,0.717
PARNAMIRIM,240325,2,1.0,n/d,RN,Rio Grande do Norte,NE,Brasil,200906,850.44,0.682,0.766,0.726,0.825,0.75
SANTA LUZIA,315780,2,1.0,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,202170,557.62,0.53,0.715,0.625,0.859,0.682
TRINDADE,522140,1,1.0,n/d,GO,Goiás,CO,Brasil,103609,558.61,0.507,0.699,0.608,0.822,0.682
AÇAILÂNDIA,210005,1,1.0,n/d,MA,Maranhão,NE,Brasil,103752,438.56,0.464,0.672,0.602,0.785,0.643
MAUÁ,352940,4,1.0,RM São Paulo,SP,São Paulo,SE,Brasil,415015,709.25,0.641,0.766,0.733,0.852,0.721
COLOMBO,410580,2,0.9,RM Curitiba,PR,Paraná,S,Brasil,212419,682.85,0.526,0.733,0.632,0.87,0.715
ITAQUAQUECETUBA,352310,3,0.9,RM São Paulo,SP,São Paulo,SE,Brasil,321198,502.85,0.542,0.714,0.648,0.844,0.665
VOTORANTIM,355700,1,0.9,n/d,SP,São Paulo,SE,Brasil,108590,703.99,0.64,0.767,0.747,0.838,0.72
ITABORAÍ,330190,2,0.9,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,217364,584.35,0.528,0.693,0.593,0.813,0.69
SÃO VICENTE,355100,3,0.9,n/d,SP,São Paulo,SE,Brasil,330341,789.32,0.65,0.768,0.716,0.857,0.738
SÃO GONÇALO,330490,9,0.9,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,996948,669.3,0.645,0.739,0.681,0.833,0.711
BRAGANÇA,150170,1,0.9,n/d,PA,Pará,N,Brasil,112709,311.97,0.399,0.6,0.486,0.755,0.589
SÃO JOÃO DE MERITI,330510,4,0.9,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,458238,597.57,0.614,0.719,0.646,0.831,0.693
ITAPIPOCA,230640,1,0.9,n/d,CE,Ceará,NE,Brasil,115450,264.08,0.456,0.64,0.613,0.761,0.562
FORTALEZA,230440,21,0.9,RM Fortaleza,CE,Ceará,NE,Brasil,2427422,846.36,0.658,0.754,0.695,0.824,0.749
JI-PARANÁ,110012,1,0.9,n/d,RO,Rondônia,N,Brasil,115896,743.35,0.532,0.714,0.617,0.81,0.728
CRATO,230420,1,0.8,n/d,CE,Ceará,NE,Brasil,120655,470.46,0.568,0.713,0.673,0.822,0.655
IMPERATRIZ,210530,2,0.8,n/d,MA,Maranhão,NE,Brasil,246317,613.87,0.617,0.731,0.698,0.803,0.697
CAMPINA GRANDE,250400,3,0.8,n/d,PB,Paraíba,NE,Brasil,382571,630.03,0.574,0.72,0.654,0.812,0.702
VITÓRIA DE SANTO ANTÃO,261640,1,0.8,n/d,PE,Pernambuco,NE,Brasil,129301,401.16,0.401,0.64,0.543,0.768,0.629
NOVA IGUAÇU,330350,6,0.8,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,795259,591,0.604,0.713,0.641,0.818,0.691
SERRA,320500,3,0.7,n/d,ES,Espírito Santo,SE,Brasil,407614,705.89,0.614,0.739,0.664,0.844,0.72
PETROLINA,261110,2,0.7,n/d,PE,Pernambuco,NE,Brasil,291908,605.06,0.536,0.697,0.611,0.799,0.695
ITAPECERICA DA SERRA,352220,1,0.7,RM São Paulo,SP,São Paulo,SE,Brasil,148965,619.82,0.58,0.742,0.687,0.852,0.699
ARAGUAÍNA,170210,1,0.7,n/d,TO,Tocantins,N,Brasil,149300,737.63,0.639,0.752,0.712,0.821,0.727
CARUARU,260410,2,0.6,n/d,PE,Pernambuco,NE,Brasil,313111,553.99,0.468,0.677,0.569,0.799,0.681
NILÓPOLIS,330320,1,0.6,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,157151,755.26,0.715,0.753,0.716,0.817,0.731
LAURO DE FREITAS,291920,1,0.6,RM Salvador,BA,Bahia,NE,Brasil,161401,1031.78,0.667,0.754,0.663,0.827,0.781
SOBRAL,231290,1,0.5,n/d,CE,Ceará,NE,Brasil,186474,448.89,0.543,0.714,0.675,0.832,0.647
HORTOLÂNDIA,351907,1,0.5,n/d,SP,São Paulo,SE,Brasil,188117,686.96,0.59,0.756,0.703,0.859,0.716
SUMARÉ,355240,1,0.4,n/d,SP,São Paulo,SE,Brasil,241007,820.03,0.6,0.762,0.705,0.845,0.744
OLINDA,260960,1,0.3,RM Recife,PE,Pernambuco,NE,Brasil,376158,640.13,0.64,0.735,0.675,0.836,0.704
BELFORD ROXO,330045,1,0.2,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,468774,491.51,0.549,0.684,0.598,0.808,0.662
JABOATÃO DOS GUARARAPES,260790,1,0.2,RM Recife,PE,Pernambuco,NE,Brasil,642986,593.9,0.585,0.717,0.642,0.83,0.692
