id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id4993,JARAGUÁ DO SUL,Jornal,420890,8,n/d,SC,Santa Catarina,S,Brasil,142186,1111.85,0.687,0.803,0.755,0.865,0.793
id5156,ALVORADA,Jornal,430060,8,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,194977,600.48,0.563,0.699,0.564,0.874,0.694
id5724,CRUZ ALTA,Jornal,430610,8,n/d,RS,Rio Grande do Sul,S,Brasil,62352,871.81,0.591,0.75,0.653,0.858,0.754
id5869,SÃO LEOPOLDO,Jornal,431870,8,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,213161,939.93,0.599,0.739,0.612,0.861,0.766
id5369,VIAMÃO,Jornal,432300,8,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,237679,707.05,0.576,0.717,0.591,0.866,0.72
id5811,MACEIÓ,Jornal,270430,7,n/d,AL,Alagoas,NE,Brasil,924611,792.54,0.591,0.721,0.635,0.799,0.739
id822,ARAGUARI,Jornal,310350,7,n/d,MG,Minas Gerais,SE,Brasil,109297,798.63,0.585,0.773,0.716,0.871,0.74
id899,CATAGUASES,Jornal,311530,7,n/d,MG,Minas Gerais,SE,Brasil,69329,699.57,0.546,0.751,0.685,0.861,0.718
id943,GOVERNADOR VALADARES,Jornal,312770,7,n/d,MG,Minas Gerais,SE,Brasil,261663,678.74,0.549,0.727,0.644,0.834,0.714
id998,JUIZ DE FORA,Jornal,313670,7,n/d,MG,Minas Gerais,SE,Brasil,512779,1050.88,0.65,0.778,0.711,0.844,0.784
id4982,SÃO GONÇALO,Jornal,330490,7,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,996948,669.3,0.645,0.739,0.681,0.833,0.711
id3971,ANDRADINA,Jornal,350210,7,n/d,SP,São Paulo,SE,Brasil,54242,919.36,0.58,0.779,0.702,0.885,0.762
id5571,GUARATINGUETÁ,Jornal,351840,7,n/d,SP,São Paulo,SE,Brasil,111540,926.78,0.673,0.798,0.751,0.886,0.764
id5752,JUNDIAÍ,Jornal,352590,7,n/d,SP,São Paulo,SE,Brasil,368777,1431.55,0.674,0.822,0.768,0.866,0.834
