Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
292560,2925600,PRESIDENTE DUTRA,n/d,BA,Nordeste,1,7.3,Brasil,13673,0.614,0.36,0.553,0.73,0.572,280.86
421400,4214003,PRESIDENTE GETÚLIO,n/d,SC,Sul,1,6.8,Brasil,14808,0.759,0.474,0.654,0.874,0.764,928.86
251230,2512309,PRINCESA ISABEL,n/d,PB,Nordeste,1,4.7,Brasil,21201,0.606,0.333,0.514,0.72,0.6,334.74
270640,2706406,PÃO DE AÇÚCAR,n/d,AL,Nordeste,1,4.2,Brasil,23711,0.593,0.351,0.491,0.793,0.536,224.33
411890,4118907,PÉROLA,n/d,PR,Sul,1,9.9,Brasil,10144,0.7,0.421,0.607,0.804,0.704,637.59
411900,4119004,PÉROLA D'OESTE,n/d,PR,Sul,1,14.9,Brasil,6728,0.726,0.434,0.679,0.809,0.697,613.32
231135,2311355,QUIXELÔ,n/d,CE,Nordeste,1,6.7,Brasil,14949,0.591,0.285,0.52,0.725,0.548,242.27
315400,3154002,RAUL SOARES,n/d,MG,Sudeste,1,4.2,Brasil,23683,0.655,0.346,0.52,0.823,0.658,480.45
412150,4121505,REBOUÇAS,n/d,PR,Sul,1,7.1,Brasil,14156,0.672,0.379,0.576,0.814,0.647,449.27
231160,2311603,REDENÇÃO,n/d,CE,Nordeste,1,3.8,Brasil,26309,0.626,0.4,0.577,0.75,0.567,273.08
220880,2208809,REGENERAÇÃO,n/d,PI,Nordeste,1,5.7,Brasil,17515,0.591,0.321,0.498,0.714,0.582,299.65
354240,3542404,REGENTE FEIJÓ,n/d,SP,Sudeste,1,5.4,Brasil,18456,0.768,0.575,0.752,0.818,0.735,774.14
251270,2512705,REMÍGIO,n/d,PB,Nordeste,1,5.7,Brasil,17509,0.607,0.294,0.474,0.797,0.592,319.14
231170,2311702,RERIUTABA,n/d,CE,Nordeste,1,5.2,Brasil,19402,0.601,0.307,0.509,0.761,0.56,260.65
412170,4121703,RESERVA,n/d,PR,Sul,1,4.0,Brasil,25110,0.618,0.272,0.461,0.786,0.65,457.88
