Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
330070.0,3300704.0,CABO FRIO,n/d,RJ,Sudeste,9,4.85696245568022,Brasil,185301.0,0.735,0.606,0.64,0.836,0.743,815.75
291080.0,2910800.0,FEIRA DE SANTANA,n/d,BA,Nordeste,9,1.62824903526245,Brasil,552741.0,0.712,0.576,0.619,0.82,0.71,662.24
313380.0,3133808.0,ITAÚNA,n/d,MG,Sudeste,9,10.5962136196666,Brasil,84936.0,0.758,0.548,0.685,0.85,0.749,847.74
420930.0,4209300.0,LAGES,n/d,SC,Sul,9,5.76531331274903,Brasil,156106.0,0.77,0.608,0.697,0.867,0.755,878.34
320390.0,3203908.0,NOVA VENÉCIA,n/d,ES,Sudeste,9,19.7230014025245,Brasil,45632.0,0.712,0.473,0.621,0.841,0.692,592.06
421190.0,4211900.0,PALHOÇA,n/d,SC,Sul,9,6.58380822098187,Brasil,136699.0,0.757,0.609,0.672,0.859,0.752,862.74
316720.0,3167202.0,SETE LAGOAS,n/d,MG,Sudeste,9,4.22362696926607,Brasil,213087.0,0.76,0.59,0.705,0.84,0.742,809.26
330490.0,3304904.0,SÃO GONÇALO,RM Rio de Janeiro,RJ,Sudeste,9,0.902755208897555,Brasil,996948.0,0.739,0.645,0.681,0.833,0.711,669.3
421660.0,4216602.0,SÃO JOSÉ,n/d,SC,Sul,9,4.31296813674984,Brasil,208673.0,0.809,0.728,0.752,0.88,0.799,1157.43
431870.0,4318705.0,SÃO LEOPOLDO,RM Porto Alegre,RS,Sul,9,4.22216071420194,Brasil,213161.0,0.739,0.599,0.612,0.861,0.766,939.93
355410.0,3554102.0,TAUBATÉ,n/d,SP,Sudeste,9,3.25833137230056,Brasil,276215.0,0.8,0.682,0.746,0.883,0.778,1011.95
316860.0,3168606.0,TEÓFILO OTONI,n/d,MG,Sudeste,9,6.75964939951781,Brasil,133143.0,0.701,0.492,0.598,0.824,0.698,615.34
317020.0,3170206.0,UBERLÂNDIA,n/d,MG,Sudeste,9,1.49813482214643,Brasil,600747.0,0.789,0.646,0.716,0.885,0.776,1001.45
430060.0,4300604.0,ALVORADA,RM Porto Alegre,RS,Sul,8,4.1030480518215,Brasil,194977.0,0.699,0.563,0.564,0.874,0.694,600.48
350210.0,3502101.0,ANDRADINA,n/d,SP,Sudeste,8,14.7487187050625,Brasil,54242.0,0.779,0.58,0.702,0.885,0.762,919.36
310350.0,3103504.0,ARAGUARI,n/d,MG,Sudeste,8,7.31950556739892,Brasil,109297.0,0.773,0.585,0.716,0.871,0.74,798.63
350400.0,3504008.0,ASSIS,n/d,SP,Sudeste,8,8.59863711601711,Brasil,93038.0,0.805,0.689,0.781,0.865,0.771,967.39
420280.0,4202800.0,BRAÇO DO NORTE,n/d,SC,Sul,8,27.7017902281935,Brasil,28879.0,0.778,0.59,0.716,0.881,0.746,831.77
420380.0,4203808.0,CANOINHAS,n/d,SC,Sul,8,15.2657189199504,Brasil,52405.0,0.757,0.567,0.692,0.874,0.717,692.87
410640.0,4106407.0,CORNÉLIO PROCÓPIO,n/d,PR,Sul,8,17.164435290079,Brasil,46608.0,0.759,0.593,0.692,0.848,0.746,828.19
351300.0,3513009.0,COTIA,RM São Paulo,SP,Sudeste,8,4.01129178637866,Brasil,199437.0,0.78,0.639,0.707,0.851,0.789,1085.66
430610.0,4306106.0,CRUZ ALTA,n/d,RS,Sul,8,12.8303823453939,Brasil,62352.0,0.75,0.591,0.653,0.858,0.754,871.81
312230.0,3122306.0,DIVINÓPOLIS,n/d,MG,Sudeste,8,3.77597160469353,Brasil,211866.0,0.764,0.593,0.702,0.844,0.753,868.57
312770.0,3127701.0,GOVERNADOR VALADARES,n/d,MG,Sudeste,8,3.05736768285925,Brasil,261663.0,0.727,0.549,0.644,0.834,0.714,678.74
410940.0,4109401.0,GUARAPUAVA,n/d,PR,Sul,8,4.8236648999994,Brasil,165849.0,0.731,0.519,0.628,0.853,0.73,750.09
420830.0,4208302.0,ITAPEMA,n/d,SC,Sul,8,17.5542536150791,Brasil,45573.0,0.796,0.656,0.727,0.881,0.788,1078.48
352390.0,3523909.0,ITU,n/d,SP,Sudeste,8,5.21818537603548,Brasil,153310.0,0.773,0.621,0.692,0.854,0.782,1038.14
160030.0,1600303.0,MACAPÁ,n/d,AP,Norte,8,2.02293502585564,Brasil,395465.0,0.733,0.679,0.663,0.82,0.723,717.88
